country,country_code,year,Meningitis,Alzheimer's Disease and Other Dementias,Parkinson's Disease,Nutritional Deficiencies,Malaria,Drowning,Interpersonal Violence,Maternal Disorders,HIV/AIDS,Drug Use Disorders,Tuberculosis,Cardiovascular Diseases,Lower Respiratory Infections,Neonatal Disorders,Alcohol Use Disorders,Self-harm,Exposure to Forces of Nature,Diarrheal Diseases,Environmental Heat and Cold Exposure,Neoplasms,Conflict and Terrorism,Diabetes Mellitus,Chronic Kidney Disease,Poisonings,Protein-Energy Malnutrition,Road Injuries,Chronic Respiratory Diseases,Cirrhosis and Other Chronic Liver Diseases,Digestive Diseases,"Fire, Heat, and Hot Substances",Acute Hepatitis
Czech Republic,CZE,2001,68,3049,679,11,0,246,189,5,9,80,99,57230,2576,201,332,1861,1,19,109,26126,1,1247,1017,108,6,1509,2353,2269,4502,92,4
Czech Republic,CZE,2002,64,3072,690,11,0,240,183,5,5,75,92,55597,2587,209,350,1818,7,21,115,27633,0,1279,1014,103,7,1451,2362,2259,4476,90,4
Czech Republic,CZE,2003,63,3106,725,12,0,236,187,6,4,77,89,56075,2727,202,377,1873,0,26,128,29092,0,1396,1054,101,8,1415,2485,2376,4666,92,4
Czech Republic,CZE,2004,60,3135,721,14,0,223,182,7,5,76,81,53377,2695,200,399,1816,3,31,134,28922,1,1415,1039,94,10,1302,2478,2339,4593,89,4
Czech Republic,CZE,2005,58,3217,740,17,0,220,163,6,10,77,78,52681,2818,190,422,1789,2,39,138,29301,0,1516,1069,92,13,1227,2588,2382,4679,87,4
Czech Republic,CZE,2006,56,3276,736,21,0,212,169,8,8,76,71,50370,2804,193,421,1719,7,51,167,28996,0,1601,1052,86,16,1124,2582,2345,4607,84,4
Czech Republic,CZE,2007,54,3359,746,29,0,211,168,5,11,79,69,49404,2809,197,428,1733,1,70,144,29302,0,1783,1040,86,24,1073,2687,2384,4651,81,4
Czech Republic,CZE,2008,52,3464,768,38,0,207,148,7,10,82,64,49227,2853,185,432,1736,4,95,152,29797,0,1908,1032,86,32,1054,2812,2424,4720,80,4
Czech Republic,CZE,2009,51,3590,786,46,0,204,146,5,19,87,61,48865,2882,179,429,1727,10,126,157,29883,0,2030,1031,84,39,985,2934,2403,4712,78,4
Czech Republic,CZE,2010,48,3760,806,57,0,199,135,4,16,91,57,48754,2883,166,425,1730,17,171,198,30170,0,2192,1043,84,50,935,3057,2395,4704,76,4
Czech Republic,CZE,2011,46,3955,835,75,0,192,132,3,19,97,58,49113,2849,155,426,1737,1,228,156,30026,0,2439,1073,84,65,902,3282,2408,4747,75,4
Czech Republic,CZE,2012,44,4143,860,94,0,183,131,5,18,106,55,49156,2864,147,430,1716,0,278,174,29843,0,2648,1101,82,82,866,3475,2382,4736,74,4
Czech Republic,CZE,2013,41,4312,883,113,0,178,119,4,18,114,57,49017,2896,140,429,1674,1,311,147,29659,1,2974,1131,80,100,840,3713,2352,4729,73,4
Czech Republic,CZE,2014,40,4476,891,130,0,168,116,4,27,116,54,48111,2920,141,429,1598,0,335,141,29145,6,3137,1151,75,115,804,3798,2295,4655,72,4
Czech Republic,CZE,2015,39,4662,926,150,0,167,116,3,17,123,56,49031,3111,147,437,1570,0,358,143,29394,0,3372,1212,75,134,808,4013,2319,4738,73,4
Czech Republic,CZE,2016,40,4804,943,160,0,162,96,2,23,126,54,48976,3224,170,449,1534,0,360,144,29535,0,3498,1248,73,142,787,4066,2312,4750,74,3
Czech Republic,CZE,2017,39,4929,966,163,0,159,101,3,20,130,53,49510,3364,171,449,1525,1,349,143,29820,0,3549,1285,72,145,769,4135,2331,4795,73,3
Czech Republic,CZE,2018,39,5041,993,146,0,157,105,3,20,133,55,51108,3393,146,446,1512,0,316,142,30505,0,3506,1309,72,129,769,4121,2338,4853,86,3
Czech Republic,CZE,2019,38,5121,1005,134,0,154,105,3,19,136,55,51294,3386,130,445,1480,0,293,135,30718,0,3441,1317,72,119,758,4062,2320,4846,72,3
Denmark,DNK,2000,61,2143,375,109,0,48,90,1,35,195,49,20688,1682,153,589,889,0,120,16,16384,0,1257,691,16,50,559,4175,1073,3028,88,2
Denmark,DNK,2001,58,2188,393,112,0,49,74,3,40,193,49,20762,1797,152,643,863,0,142,18,16572,0,1337,732,16,61,538,4228,1088,3092,92,2
Denmark,DNK,2002,50,2201,406,122,0,49,72,3,43,189,49,20444,1970,147,700,846,1,176,18,16713,0,1416,777,16,77,529,4228,1115,3133,98,2
Denmark,DNK,2003,51,2188,410,121,0,48,74,2,50,187,46,19630,2065,149,741,815,0,198,18,16713,1,1421,801,16,80,504,4143,1125,3109,99,2
Denmark,DNK,2004,45,2177,413,119,0,47,61,1,47,189,45,18708,2106,150,798,796,0,216,18,16759,0,1409,813,16,82,475,4018,1122,3072,97,2
Denmark,DNK,2005,45,2183,419,113,0,45,72,1,40,197,42,17847,2136,149,842,765,2,237,18,16753,1,1401,824,15,79,440,3944,1106,3038,95,2
Denmark,DNK,2006,43,2213,432,110,0,45,60,4,32,203,40,17380,2215,134,866,764,0,266,18,16992,0,1420,854,15,76,424,3970,1133,3057,96,2
Denmark,DNK,2007,37,2239,447,105,0,45,65,2,36,208,40,16909,2296,143,885,756,0,289,18,17172,2,1438,896,15,71,418,4029,1136,3035,95,2
Denmark,DNK,2008,37,2248,459,95,0,41,60,3,30,218,36,16250,2346,141,891,739,0,303,18,17285,13,1423,919,13,64,399,4055,1118,2973,93,2
Denmark,DNK,2009,37,2264,474,91,0,38,58,3,39,224,35,15846,2401,125,864,729,0,332,18,17514,3,1422,959,12,60,364,4139,1109,2928,89,2
Denmark,DNK,2010,37,2278,484,86,0,36,52,1,41,220,34,15291,2379,121,833,708,0,350,18,17632,0,1389,1001,11,53,333,4151,1086,2846,86,2
Denmark,DNK,2011,35,2311,492,77,0,34,51,2,30,216,30,14680,2351,118,820,692,0,362,16,17448,3,1368,1024,11,47,305,4156,1031,2717,79,2
Denmark,DNK,2012,32,2349,505,75,0,34,35,1,34,204,29,14343,2337,115,810,683,0,374,16,17464,0,1353,1060,10,44,282,4190,995,2629,76,2
Denmark,DNK,2013,32,2385,517,75,0,32,34,1,35,200,28,14076,2344,117,799,671,2,382,15,17464,0,1347,1083,9,43,272,4241,969,2570,74,2
Denmark,DNK,2014,30,2425,523,73,0,32,44,2,23,197,26,13837,2296,124,788,661,0,384,15,17440,0,1329,1088,9,42,266,4233,941,2517,73,2
Denmark,DNK,2015,29,2474,535,72,0,30,42,1,29,192,27,13871,2313,121,794,651,0,382,14,17459,4,1336,1103,9,42,264,4280,918,2493,72,2
Denmark,DNK,2016,30,2544,550,75,0,31,42,1,27,195,26,14307,2362,118,803,661,0,377,14,17626,1,1358,1101,9,44,275,4344,931,2550,73,2
Denmark,DNK,2017,31,2605,566,78,0,31,42,1,26,195,26,14668,2402,116,807,671,0,375,14,17867,0,1384,1110,9,46,281,4421,941,2598,73,2
Denmark,DNK,2018,31,2651,583,79,0,31,43,1,25,196,27,14986,2431,113,812,673,0,373,14,18188,0,1408,1120,10,47,289,4497,948,2639,74,2
Denmark,DNK,2019,31,2703,600,81,0,32,43,1,24,198,27,15330,2473,110,817,668,0,372,14,18488,0,1434,1133,10,48,294,4572,955,2684,75,2
Estonia,EST,2000,17,394,88,5,0,115,221,4,5,46,106,9971,317,48,329,453,1,2,187,3439,0,139,124,23,3,258,283,291,627,174,1
Estonia,EST,2001,17,401,92,5,0,122,227,1,5,55,107,10153,327,44,352,463,0,2,212,3576,1,158,132,22,3,256,292,327,674,183,1
Estonia,EST,2002,16,408,92,4,0,110,188,1,4,65,98,9826,309,38,339,434,1,2,201,3549,0,162,130,18,3,241,291,332,674,172,1
Estonia,EST,2003,15,415,94,4,0,100,172,3,8,65,88,9615,283,38,345,397,0,2,180,3545,0,176,131,16,2,214,295,333,672,161,1
Estonia,EST,2004,14,425,95,4,0,93,141,3,20,77,82,9350,264,36,347,378,0,2,165,3589,0,194,134,15,2,203,297,341,680,152,1
Estonia,EST,2005,13,436,97,3,0,84,150,2,32,78,71,9133,240,34,343,351,0,2,147,3622,0,197,145,13,2,191,293,347,685,141,0
Estonia,EST,2006,12,445,100,4,0,82,135,1,46,86,69,8969,229,32,332,341,1,2,134,3711,0,198,154,12,2,189,299,357,691,134,0
Estonia,EST,2007,12,459,104,4,0,84,128,0,37,100,66,8947,226,32,326,341,0,2,124,3870,2,200,171,10,2,181,306,373,713,126,0
Estonia,EST,2008,11,474,104,3,0,74,109,0,41,101,55,8464,207,29,296,300,0,2,99,3795,1,182,180,8,2,151,294,345,668,104,0
Estonia,EST,2009,9,492,105,3,0,66,96,0,48,108,48,8195,200,25,274,278,1,2,86,3832,4,165,199,7,1,133,289,320,635,89,0
Estonia,EST,2010,8,510,103,2,0,60,77,1,43,106,41,7720,188,22,254,249,0,2,75,3695,1,142,217,7,1,113,277,291,585,77,0
Estonia,EST,2011,8,533,108,3,0,58,79,1,55,115,39,7795,197,18,250,249,0,2,73,3809,2,141,250,7,1,112,284,297,593,75,0
Estonia,EST,2012,6,562,111,2,0,54,73,1,48,125,36,7757,206,17,242,250,1,2,86,3806,0,137,280,7,1,105,289,296,590,67,0
Estonia,EST,2013,6,593,113,2,0,48,67,1,51,113,31,7602,208,14,221,226,0,3,61,3740,0,135,305,6,1,94,286,284,573,59,0
Estonia,EST,2014,6,624,116,2,0,49,57,0,46,112,29,7673,223,14,219,228,0,3,58,3838,0,135,339,6,1,92,298,296,592,58,0
Estonia,EST,2015,6,649,117,2,0,44,54,0,43,109,26,7510,221,14,208,213,0,3,53,3774,0,134,356,6,1,85,295,290,581,55,0
Estonia,EST,2016,6,676,123,2,0,43,52,1,40,115,26,7810,228,13,206,212,0,3,56,3882,0,143,389,7,1,84,304,298,599,53,0
Estonia,EST,2017,6,703,124,2,0,44,57,1,38,122,25,7977,226,12,211,213,0,3,54,3862,0,141,368,7,1,84,304,287,591,54,0
Estonia,EST,2018,6,732,126,2,0,43,58,0,36,125,25,8125,225,11,213,211,0,3,61,3844,0,141,359,6,1,84,304,283,588,54,0
Estonia,EST,2019,6,757,127,2,0,42,58,0,34,128,24,8201,224,11,214,208,0,3,53,3832,0,140,349,6,1,82,303,277,584,54,0
Finland,FIN,2000,29,1843,406,9,0,159,157,4,11,205,118,22508,2841,87,694,1291,3,52,115,10883,3,499,288,14,2,463,1497,805,2153,85,2
Finland,FIN,2001,28,1876,419,9,0,153,158,3,5,208,110,22348,2566,80,709,1244,2,54,116,10975,3,486,301,13,3,457,1512,844,2180,81,2
Finland,FIN,2002,28,1906,436,9,0,152,143,3,9,212,105,22525,2316,77,715,1182,0,60,118,11136,11,483,315,13,3,445,1522,898,2242,84,2
Finland,FIN,2003,27,1929,449,8,0,150,129,3,13,220,97,22410,1984,82,738,1144,0,62,121,11285,1,473,327,13,3,431,1530,963,2314,87,2
Finland,FIN,2004,26,1945,456,9,0,150,140,5,11,238,91,22077,1602,87,755,1122,0,58,131,11408,2,462,345,14,3,420,1520,1072,2434,90,2
Finland,FIN,2005,25,1998,469,9,0,148,127,3,9,253,86,22009,1263,82,767,1097,0,63,125,11534,3,452,366,14,3,404,1555,1160,2526,89,2
Finland,FIN,2006,24,2062,487,9,0,143,125,4,13,266,81,21976,1017,74,770,1085,0,69,124,11693,1,437,392,15,3,388,1592,1201,2563,91,2
Finland,FIN,2007,23,2138,507,9,0,142,125,2,16,286,77,22186,876,74,754,1089,2,79,123,11909,12,439,420,15,4,384,1634,1272,2643,89,2
Finland,FIN,2008,22,2222,527,9,0,137,130,4,9,296,73,22278,759,72,732,1078,0,82,120,12089,3,433,450,15,4,360,1656,1302,2656,89,2
Finland,FIN,2009,21,2294,550,10,0,133,118,2,5,303,70,22449,698,67,706,1068,1,80,118,12340,1,424,480,15,4,341,1705,1322,2681,87,2
Finland,FIN,2010,19,2398,576,11,0,131,109,2,11,299,67,22765,646,63,674,1040,1,75,119,12597,1,424,521,14,4,324,1746,1326,2679,84,2
Finland,FIN,2011,19,2498,597,11,0,125,107,1,8,296,65,22836,615,61,649,993,2,66,115,12785,2,424,562,14,4,309,1784,1310,2656,79,2
Finland,FIN,2012,17,2597,618,11,0,117,87,2,9,290,61,23045,600,58,629,952,1,58,114,13029,5,430,604,13,4,296,1819,1308,2641,79,2
Finland,FIN,2013,17,2701,638,11,0,117,89,1,6,284,57,23214,595,48,603,914,1,54,109,13279,2,436,640,13,5,281,1846,1298,2635,74,2
Finland,FIN,2014,16,2790,657,11,0,113,91,2,5,270,56,23336,596,50,586,860,1,47,104,13454,1,441,673,13,4,271,1870,1267,2601,74,2
Finland,FIN,2015,16,2900,669,12,0,108,86,2,6,264,52,23473,607,42,571,822,0,45,100,13634,0,450,698,12,5,262,1896,1228,2557,71,2
Finland,FIN,2016,15,3009,687,12,0,105,80,2,6,268,50,23815,632,42,554,824,0,43,102,13907,1,480,703,11,5,260,1944,1219,2574,72,2
Finland,FIN,2017,16,3104,698,12,0,106,82,2,6,278,53,24362,687,40,564,826,0,47,100,14091,0,481,698,12,5,264,1976,1201,2582,72,2
Finland,FIN,2018,16,3192,713,12,0,105,83,2,6,285,54,24871,732,39,564,839,0,49,99,14284,0,488,702,11,5,265,2008,1172,2581,71,2
Finland,FIN,2019,16,3280,727,12,0,104,83,2,5,291,55,25383,775,38,565,873,0,51,98,14495,0,496,706,11,6,266,2043,1152,2589,70,2
France,FRA,2000,314,24825,5148,3230,0,1088,717,74,1274,908,2017,161160,19722,1629,3400,13283,23,1755,347,160035,18,11308,7837,204,3072,8873,20090,12699,27799,825,27
France,FRA,2001,318,25339,5310,3273,0,1149,726,73,1225,957,1926,160172,18877,1651,3524,13200,29,1799,334,161674,14,11859,8120,204,3126,8543,19298,12663,27734,817,27
France,FRA,2002,303,25974,5539,3347,0,1173,730,83,1223,994,1836,160175,18770,1566,3627,13111,49,1887,319,164176,7,12362,8450,198,3201,8020,19039,12621,27811,856,24
France,FRA,2003,303,26630,5747,3427,0,1201,694,72,1151,1041,1751,159153,18538,1542,3696,12971,26,1985,1974,165898,7,12664,8658,196,3283,7370,18900,12499,27729,897,23
France,FRA,2004,290,27036,5756,3271,0,1151,665,69,1135,1050,1579,151611,17420,1494,3747,12515,25,1945,302,163565,8,12282,8576,185,3138,6732,18058,11901,26661,770,23
France,FRA,2005,284,27698,5947,3298,0,1148,630,64,994,1100,1498,150426,17550,1450,3790,12448,30,1987,376,165087,6,12314,8796,184,3168,6401,18035,11805,26620,808,22
France,FRA,2006,262,28411,6122,3320,0,1153,624,70,982,1149,1413,148618,17122,1464,3828,12343,47,2035,518,166220,8,12206,8995,188,3194,6001,17837,11620,26523,744,21
France,FRA,2007,258,29156,6335,3388,0,1144,596,74,850,1214,1333,147659,17219,1443,3870,12345,27,2093,316,168468,10,12146,9288,189,3260,5710,17916,11447,26521,729,20
France,FRA,2008,254,30069,6603,3519,0,1151,616,66,774,1324,1278,148533,17519,1463,3897,12531,17,2136,323,172168,11,12198,9694,196,3387,5478,18207,11389,26877,724,19
France,FRA,2009,255,30913,6814,3614,0,1153,632,74,654,1430,1237,148591,17800,1459,3889,12767,26,2086,443,175675,11,12164,9978,206,3479,5323,18434,11363,27155,720,19
France,FRA,2010,252,31793,6945,3694,0,1145,594,78,584,1501,1189,147786,17832,1462,3901,12735,71,1935,416,177632,17,11948,10261,214,3557,5106,18614,11203,27272,709,18
France,FRA,2011,249,33094,7073,3742,0,1115,604,64,493,1544,1144,147571,18173,1401,3892,12492,21,1620,335,180034,26,11784,10473,218,3605,4862,18895,11024,27487,684,18
France,FRA,2012,245,34915,7282,3864,0,1085,612,61,501,1576,1108,149170,18897,1412,3851,12090,12,1491,499,182809,12,11798,10870,224,3726,4580,19343,10884,27763,667,18
France,FRA,2013,242,36797,7374,3895,0,1055,585,54,535,1606,1063,148281,19110,1432,3787,11738,28,1366,355,184080,9,11611,11044,223,3758,4335,19529,10661,27619,650,18
France,FRA,2014,232,38572,7394,3887,0,1011,534,50,429,1630,1005,146793,19072,1391,3716,11327,19,1281,344,184299,4,11401,11089,220,3755,4191,19498,10410,27346,630,18
France,FRA,2015,232,40527,7630,4084,0,1013,551,47,490,1699,1001,151427,20301,1382,3664,11367,25,1321,389,188774,295,11781,11568,222,3943,4205,20374,10631,28107,649,18
France,FRA,2016,227,41910,7549,4185,0,966,527,47,487,1669,991,152387,20634,1332,3700,10971,5,1378,351,187823,182,11772,11602,213,4043,4100,20421,10389,27947,643,18
France,FRA,2017,226,43470,7678,4383,0,957,531,46,479,1716,1006,157291,21518,1237,3731,11037,18,1451,359,191346,2,12106,11966,212,4236,4132,21022,10555,28598,656,18
France,FRA,2018,225,44853,7837,4571,0,949,536,46,468,1778,1029,161856,22322,1185,3728,11048,20,1529,370,193603,14,12434,12326,213,4422,4173,21512,10581,29128,669,19
France,FRA,2019,226,46008,7997,4734,0,944,538,46,457,1839,1053,166496,23096,1142,3748,11014,0,1607,1875,197313,0,12806,12700,213,4581,4237,22060,10722,29763,683,19
Germany,DEU,2000,349,35327,7228,161,0,618,924,51,702,1516,819,357679,17769,1621,6022,12844,1,688,179,243529,12,19544,14591,107,89,7956,32657,23133,43094,660,71
Germany,DEU,2001,345,35229,7408,174,0,583,867,42,660,1487,737,348711,17798,1565,5823,12541,9,801,176,249281,6,19330,15633,104,99,7463,31780,22649,42859,648,65
Germany,DEU,2002,344,35209,7721,189,0,569,887,35,644,1435,684,346347,18472,1521,5722,12435,33,976,173,255686,10,19577,16877,100,113,7122,31962,22517,43301,650,58
Germany,DEU,2003,331,35066,8020,217,0,558,823,40,623,1410,640,342145,19138,1510,5657,12360,2,1223,176,259062,4,19599,18025,99,135,6799,32245,22329,43667,641,52
Germany,DEU,2004,311,35301,8156,243,0,517,789,45,611,1354,577,330795,19142,1474,5583,11950,2,1496,160,259846,6,19146,18744,97,159,6268,31676,21474,43170,618,44
Germany,DEU,2005,296,35731,8472,279,0,496,715,37,595,1341,548,326879,19821,1397,5538,11625,6,1836,165,261980,6,19045,19800,97,191,5873,31960,20968,43255,610,41
Germany,DEU,2006,287,35561,8768,317,0,481,719,45,599,1324,520,321684,20064,1361,5487,11322,8,2213,196,262584,6,18785,20732,98,221,5531,32179,20466,43197,597,37
Germany,DEU,2007,281,35246,9135,357,0,467,695,38,563,1345,499,318687,20535,1376,5507,11160,20,2657,151,263688,3,18761,22015,100,253,5283,32940,20155,43345,591,35
Germany,DEU,2008,273,35096,9576,404,0,466,675,41,561,1372,476,317372,20919,1285,5567,11156,5,3096,151,264802,6,18959,23313,101,289,5049,34054,20108,43882,604,34
Germany,DEU,2009,267,35857,10038,450,0,465,674,38,548,1375,468,318239,21328,1247,5627,11257,8,3478,185,264542,3,19319,24688,101,328,4869,35593,20107,44360,621,33
Germany,DEU,2010,260,37332,10424,508,0,461,665,42,552,1371,460,319114,21385,1227,5726,11343,7,3765,216,258984,6,19561,26290,102,376,4687,36809,19993,44649,628,33
Germany,DEU,2011,250,38347,10650,554,0,460,640,36,567,1355,449,318181,21331,1222,5829,11284,9,3889,153,254502,9,19550,27594,99,416,4575,37650,19738,44603,629,32
Germany,DEU,2012,240,39616,11016,612,0,460,601,33,521,1355,449,323295,21689,1163,5952,11254,1,4140,169,253690,2,19809,29375,99,468,4418,39078,19679,45017,639,32
Germany,DEU,2013,234,40848,11379,679,0,467,592,34,513,1390,450,330674,22264,1176,6084,11413,11,4370,156,255452,1,20196,31198,99,523,4322,40735,19938,45719,656,34
Germany,DEU,2014,222,42303,11539,739,0,460,587,35,493,1422,436,331809,22305,1199,6192,11379,10,4450,151,254813,4,20131,32433,97,580,4232,41462,19669,45516,653,33
Germany,DEU,2015,223,44103,12028,842,0,477,622,33,511,1505,443,345971,23674,1255,6320,11658,7,4654,155,260050,3,21006,34600,99,664,4337,43712,20265,46986,684,35
Germany,DEU,2016,222,45209,12257,874,0,480,615,33,467,1561,444,349510,23986,1328,6410,11613,7,4587,148,262849,39,21307,35136,99,691,4343,44334,20308,47368,691,35
Germany,DEU,2017,218,46086,12375,811,0,473,614,35,451,1586,447,350343,24065,1209,6406,11614,5,4394,149,265156,3,21427,34419,99,640,4401,44216,20267,47310,677,35
Germany,DEU,2018,216,47417,12566,790,0,469,615,35,436,1630,453,355562,24448,1155,6393,11637,5,4312,149,268961,0,21798,34590,99,623,4436,44533,20367,47714,675,35
Germany,DEU,2019,216,49557,12875,782,0,465,617,35,421,1678,462,364285,25096,1098,6379,11664,1,4297,150,274088,0,22363,35220,99,616,4468,45165,20492,48420,678,36
Greece,GRC,2000,51,3330,838,11,0,360,129,5,29,335,122,49187,3031,288,31,427,1,11,39,29421,2,904,2949,40,6,2207,3210,1444,2919,117,20
Greece,GRC,2001,49,3374,856,10,0,359,120,6,18,354,128,48892,3065,264,31,418,12,11,28,29783,0,920,2901,40,6,2094,3316,1409,2901,117,20
Greece,GRC,2002,49,3407,882,10,0,362,100,5,27,333,129,48768,3140,257,32,413,2,12,26,30000,0,969,2869,40,5,1976,3399,1376,2905,112,22
Greece,GRC,2003,48,3443,910,9,0,372,120,6,20,325,132,48605,3199,225,32,421,1,13,24,30307,0,1028,2867,38,5,1922,3493,1360,2914,110,25
Greece,GRC,2004,45,3491,938,8,0,374,111,8,16,332,131,47801,3184,220,32,428,0,14,22,30556,0,1101,2837,36,4,1927,3623,1340,2904,108,30
Greece,GRC,2005,43,3570,972,7,0,368,120,5,12,346,136,47038,3147,210,33,437,1,14,22,30654,0,1159,2816,34,4,1888,3850,1328,2924,105,38
Greece,GRC,2006,43,3691,1016,7,0,362,110,5,10,346,142,46733,3031,199,35,438,4,14,22,30777,0,1225,2812,32,4,1828,4252,1315,2958,101,50
Greece,GRC,2007,44,3866,1087,6,0,389,132,6,20,345,161,48050,2862,193,36,449,2,16,48,31382,0,1300,2735,31,3,1820,4845,1334,3061,211,66
Greece,GRC,2008,42,4050,1132,6,0,389,151,3,9,326,158,47016,2977,179,37,459,2,17,22,31598,0,1291,2833,30,3,1735,5018,1316,3090,108,69
Greece,GRC,2009,41,4270,1178,6,0,400,159,7,18,320,168,47236,2784,186,37,476,0,18,20,31443,1,1278,2661,30,3,1684,5487,1301,3132,109,86
Greece,GRC,2010,40,4509,1220,6,0,401,161,8,20,291,169,47087,2864,189,38,484,1,20,21,31350,4,1271,2699,28,3,1566,5765,1277,3185,109,94
Greece,GRC,2011,39,4795,1283,6,0,403,167,7,22,262,175,48147,3102,169,38,505,0,23,21,31956,0,1299,2834,27,3,1477,6056,1298,3330,109,97
Greece,GRC,2012,37,5070,1346,6,0,410,165,5,37,238,174,49105,3426,153,39,520,1,27,28,32636,1,1327,3059,25,3,1392,6219,1310,3478,111,91
Greece,GRC,2013,34,5308,1358,7,0,396,150,4,42,212,156,47887,3787,163,39,516,0,31,21,32566,2,1318,3297,23,3,1289,6035,1285,3518,105,76
Greece,GRC,2014,30,5584,1383,7,0,382,144,5,50,195,137,47176,4615,177,40,520,7,38,21,32688,0,1283,3844,20,3,1234,5740,1274,3627,96,47
Greece,GRC,2015,29,5897,1428,9,0,382,124,5,47,194,129,48018,5300,182,43,522,7,43,22,33165,1,1301,4243,19,3,1250,5787,1280,3745,99,38
Greece,GRC,2016,31,6220,1458,9,0,387,130,6,30,187,124,48832,5719,195,44,517,6,48,22,33581,66,1299,4445,19,3,1236,5766,1284,3840,101,36
Greece,GRC,2017,30,6488,1476,9,0,377,128,5,26,183,130,50809,5649,166,43,505,26,44,23,33865,0,1301,4374,20,3,1240,5933,1303,3853,102,39
Greece,GRC,2018,30,6766,1536,9,0,377,137,5,24,185,135,54042,5874,152,43,504,0,44,24,34702,0,1346,4532,21,3,1267,6220,1342,4001,206,39
Greece,GRC,2019,30,6996,1567,10,0,373,130,4,22,186,137,55921,5957,140,42,500,0,44,24,35234,0,1366,4604,21,4,1278,6399,1366,4075,108,39
Hungary,HUN,2000,98,2928,647,19,0,233,291,9,157,50,258,64750,1103,496,830,3072,1,26,242,34527,0,1970,802,66,7,1549,4203,6588,9514,219,5
Hungary,HUN,2001,96,2990,649,19,0,212,275,7,131,50,232,62846,1028,443,729,2902,1,25,303,34712,1,1953,822,69,8,1507,4061,6170,9033,212,4
Hungary,HUN,2002,92,3045,664,19,0,211,262,8,122,49,212,62901,1015,402,684,2847,0,28,235,35369,1,2123,880,68,7,1537,4165,5999,8866,207,4
Hungary,HUN,2003,91,3109,686,19,0,207,230,8,107,50,194,63277,1011,379,669,2804,7,30,249,36101,0,2293,946,73,8,1537,4378,5898,8790,205,4
Hungary,HUN,2004,91,3163,699,21,0,198,234,6,111,50,176,62352,990,350,654,2722,0,35,244,35952,0,2370,984,73,8,1501,4505,5660,8509,197,3
Hungary,HUN,2005,91,3287,732,25,0,199,214,7,94,51,162,63351,1003,336,654,2719,4,45,254,36538,0,2588,1086,74,10,1486,4884,5592,8469,195,3
Hungary,HUN,2006,86,3393,739,27,0,196,212,9,85,52,140,61740,979,315,638,2627,5,54,241,36166,0,2579,1157,72,12,1410,5014,5359,8222,184,3
Hungary,HUN,2007,85,3491,769,31,0,192,207,10,84,52,133,62201,995,306,622,2623,0,68,242,36688,0,2618,1253,70,13,1348,5244,5278,8202,182,3
Hungary,HUN,2008,79,3575,771,32,0,179,215,14,60,51,119,60527,981,290,592,2524,0,83,237,36025,0,2516,1304,64,14,1215,5222,4924,7799,172,3
Hungary,HUN,2009,67,3671,797,34,0,176,188,14,73,51,107,61143,997,257,571,2517,0,118,244,36192,2,2490,1414,62,15,1126,5375,4756,7662,167,3
Hungary,HUN,2010,63,3792,811,35,0,167,174,13,67,49,97,60907,1007,238,549,2442,1,160,245,35779,1,2420,1503,58,15,1017,5425,4434,7328,160,3
Hungary,HUN,2011,65,3924,826,35,0,157,184,11,65,46,86,60769,1028,224,526,2369,0,213,235,35470,0,2372,1575,55,16,943,5525,4156,7048,154,3
Hungary,HUN,2012,60,4047,842,37,0,151,182,10,59,47,83,60657,1046,219,512,2314,0,272,232,34861,0,2347,1635,54,16,896,5650,3946,6832,149,3
Hungary,HUN,2013,63,4159,846,36,0,142,167,12,34,46,76,59632,1056,217,503,2179,0,312,219,33888,0,2278,1666,51,16,839,5667,3671,6507,140,3
Hungary,HUN,2014,56,4281,866,35,0,141,149,9,48,48,71,60026,1097,208,512,2132,0,338,212,34052,0,2304,1728,49,16,824,5815,3614,6467,136,3
Hungary,HUN,2015,62,4432,898,36,0,144,166,13,34,49,71,61730,1155,207,496,2122,0,364,222,34557,0,2407,1809,50,16,840,6037,3621,6542,139,3
Hungary,HUN,2016,53,4538,891,34,0,137,143,11,32,51,62,60133,1175,177,525,2001,0,341,220,33971,0,2410,1806,48,16,816,5987,3485,6342,131,3
Hungary,HUN,2017,52,4663,917,34,0,139,126,13,38,57,60,61561,1235,157,528,1956,0,328,223,34277,0,2513,1863,47,16,817,6120,3497,6395,133,3
Hungary,HUN,2018,52,4771,935,34,0,136,143,10,38,60,63,62751,1237,147,535,1956,0,296,216,34832,0,2545,1859,48,16,815,6113,3569,6511,133,3
Hungary,HUN,2019,50,4850,927,34,0,131,144,10,37,63,61,61818,1217,135,541,1902,0,268,207,34293,0,2497,1821,47,16,803,5936,3511,6413,129,3
Iceland,ISL,2000,2,80,21,1,0,3,3,0,2,8,3,710,88,7,6,37,0,2,1,502,0,19,16,1,1,21,81,14,51,2,0
Iceland,ISL,2001,2,82,22,1,0,3,3,0,1,8,3,709,84,6,6,36,0,2,1,511,0,19,17,1,1,20,81,14,52,2,0
Iceland,ISL,2002,2,84,24,1,0,3,3,0,1,8,2,710,83,6,6,35,0,2,1,523,0,20,18,1,1,18,84,14,53,2,0
Iceland,ISL,2003,2,86,24,1,0,3,3,0,1,8,2,698,81,6,6,35,0,2,1,527,0,20,19,1,1,17,84,14,53,2,0
